record_id,submitted_at,channel,user_email,plan_tier,region,message,rating,resolved,assigned_to
FB-2253,05 Jun 2026,email,mei.singh@brightlab.io,FREE,North America,Special characters in names show up as question marks.,3,yes,priya.k
FB-2210,2026-06-08 23:50:00,In-App,tomas.chen@northfield.org,enterprise,IN,Why did the price go up without any notice?,1,TRUE,sam.t
FB-2322,2026-02-05 15:57:00,support-form,zara.okoro@meridiangroup.co,FREE,EMEA,Need role-based permissions before we can roll this out wider.,4,no,ALEX.R
FB-2168,06-05-2026 01:38,In-App,priya.khan@acmeco.com,Starter,IN,The setup wizard skipped a step and now nothing is connected.,2,YES,alex.r
FB-2390,2026-06-13 07:43:00,,rahul.larsen@meridiangroup.co,PRO,apac,"Please add a dark mode, my eyes are dying.",4,1,alex.r
FB-2365,31 May 2026,Chat,sam.haddad@fig.studio,Enterprise,North America,Took us three days to get the first integration working.,3,0,alex.r
FB-2086,05-25-2026 08:33,,ines.chen@meridiangroup.co,starter,IN,Spent an hour trying to figure out how to invite my team.,2,No,
FB-2017,2026-06-14 20:39:00,,viktor.muller@zenith-partners.com,Enterprise,EMEA,If the export issue isn't fixed by renewal we're moving on.,1,,sam.t
FB-2277,04 Feb 2026,Email,zara.sharma@zenith-partners.com,FREE,India,"Onboarding emails came in the wrong order, confusing.",4,No,
FB-2328,2026-02-27T22:32:00Z,support-form,theo.costa@zenith-partners.com,free,EMEA,,2/5,yes,
FB-2149,24 Apr 2026,email,sofia.okoro@opalhealth.com,enterprise,APAC,Any plans for a Slack integration?,3,1,
FB-2007,21/07/2026,,fatima.kim@meridiangroup.co,pro,LATAM,Support got back to me in 10 minutes. Impressive.,5,,sam.t
FB-2258,02-25-2026 06:14,support-form,zara.bauer@meridiangroup.co,Starter,latam,Would be great to schedule reports weekly instead of manual.,3,No,jo.m
FB-2017,2026-06-14 20:39:00,,viktor.muller@zenith-partners.com,Enterprise,EMEA,If the export issue isn't fixed by renewal we're moving on.,1,,sam.t
FB-2065,03-31-2026 21:47,In-App,noah.silva@vantage.works,starter,India,Switched from a competitor and haven't looked back.,4,FALSE,ALEX.R
FB-2212,2026-07-08T20:49:00Z,Chat,marcus.ito@zenith-partners.com,Enterprise,emea,Notifications fire twice for every comment.,3,,
FB-2319,06-15-2026 21:20,Chat,theo.alvarez@tidewater.io,PRO,India,Would be great to schedule reports weekly instead of manual.,2,TRUE,priya.k
FB-2244,05-20-2026 00:14,chat,zara.varga@fig.studio,Starter,emea,The setup wizard skipped a step and now nothing is connected.,3,TRUE,priya.k
FB-2262,15 May 2026,email,ines.rossi@tidewater.io,FREE,,Dashboard takes 30+ seconds to load every morning.,,1,
FB-2206,2026-03-03T17:13:00Z,Email,mei.varga@northfield.org,pro,emea,We need bulk edit. Doing this one by one is painful.,,0,ALEX.R
FB-2093,07-14-2026 18:06,Email,noah.haddad@northfield.org,Enterprise,latam,Page keeps crashing on Safari specifically.,2,TRUE,sam.t
FB-2184,21 Jun 2026,In-App,sofia.okoro@tidewater.io,Free,EMEA,Would be great to schedule reports weekly instead of manual.,3,0,unassigned
FB-2362,2026-02-21T02:52:00Z,In-App,viktor.khan@tidewater.io,free,emea,"Uploading a large file just spins forever, no error.",1/5,,alex.r
FB-2333,08 May 2026,in-app,noah.patel@fig.studio,Enterprise,APAC,"Please add a dark mode, my eyes are dying.",3,0,unassigned
FB-2159,2026-07-22T15:18:00Z,Chat,rahul.okoro@opalhealth.com,Pro,latam,Special characters in names show up as question marks.,2,,sam.t
FB-2389,14 Jun 2026,support-form,viktor.haddad@kestrel.dev,Starter,latam,"Timezone is wrong on all timestamps, showing UTC not local.",3,YES,jo.m
FB-2044,2026-06-21T01:10:00Z,Email,olu.khan@acmeco.com,starter,LATAM,CSV export has a trailing empty column that breaks our import.,2/5,0,
FB-2314,05-14-2026 19:06,Email,aisha.patel@kestrel.dev,enterprise,EMEA,An API would unlock a lot for us.,4,1,priya.k
FB-2190,14 Mar 2026,In-App,nadia.chen@kestrel.dev,Free,IN,Invoice shows the old plan price even after we upgraded.,two,FALSE,
FB-2198,12 Apr 2026,support-form,hannah.sharma@opalhealth.com,PRO,NA,Dashboard takes 30+ seconds to load every morning.,2,0,alex.r
FB-2239,13 Jul 2026,Chat,sam.varga@fig.studio,Enterprise,IN,"Got charged twice this month, still waiting on the refund.",3,1,
FB-2075,06-06-2026 04:05,,kenji.chen@meridiangroup.co,Starter,APAC,Need a GST invoice with our company details on it.,3,yes,priya.k
FB-2331,06-02-2026 09:02,support-form,sam.chen@opalhealth.com,enterprise,North America,TOOK US THREE DAYS TO GET THE FIRST INTEGRATION WORKING.,,YES,priya.k
FB-2182,26 Mar 2026,Chat,nadia.dubois@fig.studio,pro,apac,"Onboarding emails came in the wrong order, confusing.",3,,
FB-2232,2026-02-04 16:16:00,Chat,amara.singh@brightlab.io,free,NA,Took us three days to get the first integration working.,4,0,priya.k
FB-2248,19/03/2026,,omar.patel@zenith-partners.com,Pro,North America,CANCELLED. TOO EXPENSIVE FOR WHAT WE ACTUALLY USE.,,,
FB-2230,05-18-2026 19:39,in-app,omar.mensah@brightlab.io,enterprise,IN,Can't find where to download past invoices for accounting.,3,FALSE,ALEX.R
FB-2172,28 Jun 2026,in-app,mei.haddad@opalhealth.com,starter,EMEA,No idea what half these settings do. Docs are thin.,3,YES,
FB-2252,31/05/2026,support-form,hannah.larsen@acmeco.com,starter,India,The annual discount didn't apply at checkout.,2,FALSE,priya.k
FB-2069,16 May 2026,,olu.mensah@kestrel.dev,Enterprise,IN,"Would love a template library, starting from blank is rough.",3,0,
FB-2304,2026-06-19T22:08:00Z,,omar.kim@tidewater.io,starter,North America,Need a GST invoice with our company details on it.,,0,priya.k
FB-2175,05 Feb 2026,in-app,aisha.muller@tidewater.io,Free,,Why did the price go up without any notice?,2,No,
FB-2010,2026-02-21T04:25:00Z,,kenji.dubois@brightlab.io,free,emea,Invoice shows the old plan price even after we upgraded.,2,yes,ALEX.R
FB-2146,09 Jul 2026,Email,viktor.alvarez@fig.studio,pro,IN,Deleted item reappears after refresh.,2,YES,priya.k
FB-2035,,phone,tomas.singh@opalhealth.com,PRO,LATAM,We need bulk edit. Doing this one by one is painful.,,no,
FB-2130,2026-04-02T08:46:00Z,,noah.novak@vantage.works,Free,LATAM,Switched from a competitor and haven't looked back.,5,YES,
FB-2395,06-07-2026 21:53,Chat,marcus.okoro@northfield.org,PRO,NA,We need bulk edit. Doing this one by one is painful.,3,,unassigned
FB-2298,19/02/2026,support-form,yuki.patel@zenith-partners.com,Starter,India,Deleted item reappears after refresh. Notifications fire twice for every comment.,2/5,,jo.m
FB-2022,07-03-2026 02:10,In-App,arjun.ito@meridiangroup.co,Starter,,An API would unlock a lot for us.,2,,alex.r
FB-2343,,In-App,sam.larsen@tidewater.io,Free,NA,No idea what half these settings do. Docs are thin.,4,YES,ALEX.R
FB-2181,09 Jun 2026,,maya.okoro@kestrel.dev,Free,India,We need bulk edit. Doing this one by one is painful.,4,YES,jo.m
FB-2369,15 Feb 2026,chat,marcus.singh@brightlab.io,Free,EMEA,The annual discount didn't apply at checkout.,1/5,0,unassigned
FB-2162,2026-03-13 00:26:00,Email,rahul.bauer@zenith-partners.com,pro,,App freezes when I filter by more than two tags.,1,,
FB-2354,16/05/2026,In-App,sam.rossi@brightlab.io,FREE,IN,Support got back to me in 10 minutes. Impressive.,4,no,
FB-2110,2026-03-03 20:41:00,support-form,priya.muller@brightlab.io,FREE,EMEA,Password reset link expired before it even arrived.,2,TRUE,sam.t
FB-2222,04-22-2026 01:28,email,daniel.singh@zenith-partners.com,FREE,emea,,2,no,
FB-2327,06-26-2026 05:52,chat,daniel.bauer@kestrel.dev,Starter,North America,Search is unusably slow since the last update.,,yes,alex.r
FB-2020,02 Jul 2026,In-App,yuki.ito@meridiangroup.co,Starter,EMEA,Support got back to me in 10 minutes. Impressive.,5,No,
FB-2295,2026-04-03T00:19:00Z,Chat,kenji.silva@vantage.works,pro,,Honestly the best tool we've adopted this year. Team loves it.,5,TRUE,alex.r
FB-2273,20 Apr 2026,in-app,aisha.muller@fig.studio,Pro,,The annual discount didn't apply at checkout.,2,0,
FB-2078,2026-07-04T08:26:00Z,in_app,theo.sharma@brightlab.io,free,IN,Would be great to schedule reports weekly instead of manual.,2,YES,ALEX.R
FB-2131,2026-02-08T01:44:00Z,phone,dev.sharma@brightlab.io,pro,North America,Need role-based permissions before we can roll this out wider.,2,TRUE,unassigned
FB-2384,2026-04-13T11:37:00Z,,amara.dubois@vantage.works,PRO,APAC,Any plans for a Slack integration?,3,1,sam.t
FB-2382,06-27-2026 01:33,in-app,sam.dubois@tidewater.io,enterprise,apac,No idea what half these settings do. Docs are thin.,3,0,ALEX.R
FB-2074,25/04/2026,in-app,daniel.muller@brightlab.io,Starter,latam,SPENT AN HOUR TRYING TO FIGURE OUT HOW TO INVITE MY TEAM.,3,yes,
FB-2246,2026-04-09T02:50:00Z,email,noah.haddad@opalhealth.com,Free,apac,Any plans for a Slack integration?,3,0,priya.k
FB-2219,2026-03-15T21:15:00Z,Email,omar.bauer@acmeco.com,Free,IN,Page keeps crashing on Safari specifically.,two,yes,unassigned
FB-2034,14/06/2026,Chat,aisha.kim@zenith-partners.com,PRO,EMEA,"Uploading a large file just spins forever, no error.",2,FALSE,ALEX.R
FB-2013,2026-06-16 05:16:00,support-form,rahul.sharma@vantage.works,free,IN,"Would love a template library, starting from blank is rough.",,No,unassigned
FB-2077,11 May 2026,phone,greg.chen@northfield.org,Free,latam,An API would unlock a lot for us.,3,yes,priya.k
FB-2004,21/03/2026,in-app,kenji.chen@northfield.org,Starter,latam,"Would love a template library, starting from blank is rough.",4,YES,unassigned
FB-2144,2026-07-27 20:41:00,,omar.khan@acmeco.com,FREE,APAC,,,FALSE,jo.m
FB-2011,07-15-2026 16:58,Chat,RAHUL.DUBOIS@KESTREL.DEV,pro,IN,Need a GST invoice with our company details on it.,3,1,unassigned
FB-2375,05-26-2026 08:16,In-App,tomas.larsen@meridiangroup.co,Free,latam,An API would unlock a lot for us.,3,FALSE,alex.r
FB-2302,2026-07-10 02:12:00,phone,tomas.dubois@vantage.works,FREE,APAC,Would be great to schedule reports weekly instead of manual.,2,yes,priya.k
FB-2002,2026-02-09T10:56:00Z,chat,sofia.costa@brightlab.io,Enterprise,North America,Page keeps crashing on Safari specifically.,three,yes,ALEX.R
FB-2056,08 Apr 2026,Email,marcus.larsen@tidewater.io,starter,India,Export times out whenever we select more than 3 months.,3,No,
FB-2236,03-14-2026 19:38,in_app,greg.okoro@meridiangroup.co,enterprise,EMEA,CSV export has a trailing empty column that breaks our import.,2,FALSE,ALEX.R
FB-2151,2026-07-18T09:56:00Z,phone,dev.muller@acmeco.com,Pro,EMEA,Special characters in names show up as question marks.,1,YES,
FB-2255,06/06/2026,chat,bea.mensah@acmeco.com,free,IN,"Simple, fast, does the job. Thank you.",five,,
FB-2184,21 Jun 2026,In-App,sofia.okoro@tidewater.io,Free,EMEA,Would be great to schedule reports weekly instead of manual.,3,0,unassigned
FB-2286,13 Apr 2026,In-App,ines.alvarez@zenith-partners.com,enterprise,emea,Switched from a competitor and haven't looked back.,5,yes,ALEX.R
FB-2264,17/02/2026,chat,priya.singh@kestrel.dev,FREE,North America,The annual discount didn't apply at checkout.,2,FALSE,ALEX.R
FB-2269,04 May 2026,chat,fatima.muller@meridiangroup.co,FREE,emea,Can't find where to download past invoices for accounting.,2/5,yes,unassigned
FB-2002,2026-02-09T10:56:00Z,chat,sofia.costa@brightlab.io,Enterprise,North America,Page keeps crashing on Safari specifically.,three,yes,ALEX.R
FB-2201,05-12-2026 07:30,phone,daniel.bauer@tidewater.io,Starter,NA,We need bulk edit. Doing this one by one is painful.,,no,sam.t
FB-2300,2026-06-28T09:18:00Z,phone,sofia.okoro@zenith-partners.com,PRO,IN,Search is unusably slow since the last update.,3,TRUE,alex.r
FB-2005,,phone,greg.singh@meridiangroup.co,free,India,We're pausing our subscription until the API ships.,1,No,jo.m
FB-2293,05-17-2026 00:10,email,olu.singh@tidewater.io,Pro,IN,Export times out whenever we select more than 3 months.,1,,
FB-2363,06-17-2026 06:39,,theo.patel@meridiangroup.co,Free,APAC,Export times out whenever we select more than 3 months.,2,FALSE,ALEX.R
FB-2371,2026-03-13T20:33:00Z,support-form,hannah.costa@brightlab.io,FREE,apac,Need role-based permissions before we can roll this out wider.,,1,sam.t
FB-2238,20 Mar 2026,support-form,nadia.kim at brightlab.io,Starter,NA,Page keeps crashing on Safari specifically.,2,no,ALEX.R
FB-2205,26 May 2026,,priya.silva@opalhealth.com,Starter,,Dashboard takes 30+ seconds to load every morning.,,1,priya.k
FB-2081,07-22-2026 20:36,in_app,ines.silva@kestrel.dev,pro,North America,Page keeps crashing on Safari specifically.,2,no,jo.m
FB-2107,2026-06-11T03:36:00Z,in_app,ines.larsen@tidewater.io,Enterprise,APAC,"Please add a dark mode, my eyes are dying.",3,0,
FB-2085,2026-02-10T05:32:00Z,in-app,noah.costa@northfield.org,free,India,Support got back to me in 10 minutes. Impressive.,,YES,
FB-2211,07-24-2026 16:54,in_app,viktor.varga@tidewater.io,starter,,"Onboarding emails came in the wrong order, confusing.",4/5,no,alex.r
FB-2276,06 Mar 2026,Chat,omar.kim@acmeco.com,Starter,India,App freezes when I filter by more than two tags.,,No,unassigned
FB-2043,2026-06-12 17:04:00,,luis.kim@acmeco.com,enterprise,EMEA,Need role-based permissions before we can roll this out wider.,3,TRUE,
FB-2364,11 Jun 2026,In-App,lina.rossi@acmeco.com,starter,apac,Honestly the best tool we've adopted this year. Team loves it.,4,TRUE,
FB-2160,02/04/2026,phone,zara.silva@vantage.works,FREE,IN,The setup wizard skipped a step and now nothing is connected.,2,yes,unassigned
FB-2155,2026-07-19T00:21:00Z,phone,dev.kim@opalhealth.com,PRO,APAC,Invoice shows the old plan price even after we upgraded.,2,yes,unassigned
FB-2024,2026-06-04T21:09:00Z,Chat,hannah.ito@vantage.works,Free,apac,Would be great to schedule reports weekly instead of manual.,3,FALSE,
FB-2207,09 Jul 2026,email,lina.singh@kestrel.dev,Free,latam,Page keeps crashing on Safari specifically.,3,No,
FB-2303,2026-05-14 11:51:00,phone,omar.ito@acmeco.com,free,apac,Why did the price go up without any notice?,2,no,
FB-2023,04-06-2026 18:52,email,hannah.larsen@zenith-partners.com,PRO,apac,Need a GST invoice with our company details on it.,3,No,jo.m
FB-2066,2026-06-25T12:43:00Z,support-form,fatima.rossi@vantage.works,Starter,NA,Notifications fire twice for every comment.,2,YES,sam.t
FB-2051,2026-03-15T00:27:00Z,in-app,sam.costa@opalhealth.com,PRO,APAC,Dashboard takes 30+ seconds to load every morning.,2,no,sam.t
FB-2140,2026-03-19T21:23:00Z,Email,olu.costa@tidewater.io,PRO,apac,"ONBOARDING EMAILS CAME IN THE WRONG ORDER, CONFUSING.",4,No,sam.t
FB-2097,2026-07-12 07:28:00,support-form,sam.ito@opalhealth.com,Free,LATAM,Page keeps crashing on Safari specifically.,2,,alex.r
FB-4456,06-23-2026 06:37,,zara.muller@zenith-partners.com,FREE,India,Support got back to me in 10 minutes. Impressive.,,FALSE,sam.t
FB-2196,15/02/2026,,sam.kim@tidewater.io,Enterprise,apac,Need role-based permissions before we can roll this out wider.,3,YES,
FB-2268,10/02/2026,chat,marcus.chen@tidewater.io,enterprise,LATAM,No idea what half these settings do. Docs are thin.,,no,unassigned
FB-2320,04/06/2026,phone,bea.ito@kestrel.dev,pro,North America,We're pausing our subscription until the API ships.,1,TRUE,
FB-2150,08 May 2026,chat,priya.rossi@opalhealth.com,Free,NA,CARD DECLINED BUT YOU STILL MARKED THE ACCOUNT PAST DUE.,40,1,priya.k
FB-2349,06-23-2026 14:22,Email,viktor.sharma@tidewater.io,FREE,emea,The setup wizard skipped a step and now nothing is connected.,3,1,sam.t
FB-2052,2026-03-25 13:53:00,support-form,kenji.silva at tidewater.io,Starter,emea,Any plans for a Slack integration?,60,FALSE,unassigned
FB-2251,06-23-2026 06:37,,zara.muller@zenith-partners.com,FREE,India,Support got back to me in 10 minutes. Impressive.,,FALSE,sam.t
FB-2374,04-26-2026 23:19,Email,clara.novak@northfield.org,Pro,North America,No idea what half these settings do. Docs are thin.,4,,jo.m
FB-2109,27 Jun 2026,phone,amara.sharma@tidewater.io,Free,EMEA,Need role-based permissions before we can roll this out wider.,2,YES,alex.r
FB-2037,28 May 2026,chat,fatima.patel@northfield.org,starter,latam,Password reset link expired before it even arrived.,2,FALSE,ALEX.R
FB-2096,05-24-2026 11:29,Email,aisha.bauer@vantage.works,Pro,NA,Why did the price go up without any notice?,2,yes,alex.r
FB-2113,2026-04-03 12:11:00,in-app,zara.mensah@zenith-partners.com,Free,APAC,CSV export has a trailing empty column that breaks our import.,2,1,sam.t
FB-2148,2026-04-17 00:36:00,support-form,hannah.larsen@brightlab.io,free,EMEA,Why did the price go up without any notice?,2,FALSE,jo.m
FB-2240,2026-04-10T11:39:00Z,in-app,marcus.khan@acmeco.com,Starter,emea,CSV export has a trailing empty column that breaks our import.,2/5,0,jo.m
FB-2312,2026-06-19 00:46:00,Chat,greg.haddad@acmeco.com,starter,emea,Invoice shows the old plan price even after we upgraded.,1,YES,alex.r
FB-2147,12/05/2026,In-App,fatima.mensah@meridiangroup.co,Starter,NA,Search is unusably slow since the last update.,,FALSE,unassigned
FB-2055,2026-06-25T01:56:00Z,support-form,clara.silva@opalhealth.com,Free,NA,Card declined but you still marked the account past due.,1,yes,sam.t
FB-2082,07-17-2026 15:25,email,noah.okoro@fig.studio,pro,India,Special characters in names show up as question marks.,,No,unassigned
FB-2367,2026-04-25T22:04:00Z,phone,nadia.costa@brightlab.io,Enterprise,North America,Card declined but you still marked the account past due.,1/5,YES,sam.t
FB-2272,30/06/2026,,priya.mensah@vantage.works,Enterprise,IN,TOOK US THREE DAYS TO GET THE FIRST INTEGRATION WORKING.,,YES,unassigned
FB-2014,1783802700,support-form,amara.haddad@acmeco.com,pro,North America,Any plans for a Slack integration?,3,No,sam.t
FB-2083,07-30-2026 19:02,In-App,tomas.rossi@zenith-partners.com,Enterprise,IN,Card declined but you still marked the account past due.,2,,
FB-2339,2026-07-23T06:27:00Z,in_app,hannah.alvarez at fig.studio,PRO,LATAM,Dashboard takes 30+ seconds to load every morning.,,YES,jo.m
FB-2259,12/02/2026,,priya.chen@zenith-partners.com,Enterprise,NA,Third outage this quarter. Leadership is asking questions.,1,no,jo.m
FB-2321,2026-05-12T17:22:00Z,,clara.alvarez@vantage.works,Enterprise,APAC,We need bulk edit. Doing this one by one is painful.,,,sam.t
FB-2285,07/05/2026,Chat,dev.kim@kestrel.dev,Free,apac,Support got back to me in 10 minutes. Impressive.,5/5,FALSE,priya.k
FB-2366,03-07-2026 13:32,in_app,luis.costa@tidewater.io,PRO,emea,The new reporting view is exactly what we needed. The new reporting view is exactly what we needed.,5,yes,ALEX.R
FB-2057,2026-07-19T01:18:00Z,Chat,sam.rossi@vantage.works,FREE,NA,PASSWORD RESET LINK EXPIRED BEFORE IT EVEN ARRIVED.,2,FALSE,ALEX.R
FB-2048,10/05/2026,in-app,maya.bauer@vantage.works,Enterprise,APAC,Took us three days to get the first integration working.,,No,
FB-2189,06-14-2026 16:02,phone,bea.khan@opalhealth.com,free,India,Third outage this quarter. Leadership is asking questions.,1,,jo.m
FB-2385,2026-04-17T21:55:00Z,Email,theo.chen@opalhealth.com,Starter,India,,4/5,TRUE,unassigned
FB-2104,12 Mar 2026,,kenji.mensah@kestrel.dev,free,LATAM,,3,1,
FB-2267,18/07/2026,in_app,nadia.chen@opalhealth.com,Enterprise,APAC,An API would unlock a lot for us.,4,TRUE,alex.r
FB-2045,27 Apr 2026,In-App,viktor.costa@tidewater.io,Pro,EMEA,App freezes when I filter by more than two tags.,2,,unassigned
FB-2391,18 Mar 2026,Chat,omar.khan@kestrel.dev,enterprise,emea,Cancelled. Too expensive for what we actually use. We're pausing our subscription until the API ships.,1,No,sam.t
FB-2032,05-25-2026 09:38,in_app,kenji.sharma@vantage.works,enterprise,EMEA,"Onboarding emails came in the wrong order, confusing.",2,TRUE,
FB-2271,16 Jul 2026,email,ines.chen@brightlab.io,free,apac,Deleted item reappears after refresh.,1/5,0,jo.m
FB-2347,03-07-2026 21:53,support-form,greg.chen@kestrel.dev,FREE,North America,No idea what half these settings do. Docs are thin.,3/5,1,sam.t
FB-2218,2026-03-07 05:10:00,phone,fatima.rossi@kestrel.dev,enterprise,,"Uploading a large file just spins forever, no error.",1,YES,ALEX.R
FB-2194,2026-06-16T07:11:00Z,Chat,zara.costa@acmeco.com,Starter,latam,The setup wizard skipped a step and now nothing is connected.,3,No,ALEX.R
FB-2136,2026-05-17 12:34:00,Email,theo.mensah@brightlab.io,starter,EMEA,Notifications fire twice for every comment.,2,TRUE,jo.m
FB-2257,1776759420,,yuki.varga@fig.studio,pro,emea,An API would unlock a lot for us.,3,no,
FB-2042,19 May 2026,,mei.muller@acmeco.com,Pro,North America,"Timezone is wrong on all timestamps, showing UTC not local.",2,0,priya.k
FB-2299,2026-03-12T01:33:00Z,chat,dev.varga@northfield.org,Free,India,Mobile app when?,3,yes,alex.r
FB-2019,07 Feb 2026,email,tomas.khan@opalhealth.com,Enterprise,APAC,Third outage this quarter. Leadership is asking questions.,1,,
FB-2394,2026-05-04T15:33:00Z,Chat,bea.singh@vantage.works,Free,NA,Spent an hour trying to figure out how to invite my team.,2,YES,ALEX.R
FB-2031,26 May 2026,,kenji.alvarez@vantage.works,Starter,apac,"Onboarding emails came in the wrong order, confusing.",4,no,ALEX.R
FB-2296,2026-05-22 07:55:00,Email,theo.alvarez@fig.studio,Free,India,An API would unlock a lot for us.,3,No,alex.r
FB-2338,28/03/2026,in-app,amara.ito@northfield.org,PRO,emea,Support got back to me in 10 minutes. Impressive.,5,no,
FB-2199,04-04-2026 02:05,,arjun.muller@vantage.works,pro,apac,"Onboarding emails came in the wrong order, confusing.",3,0,jo.m
FB-2053,25 May 2026,in-app,nadia.silva@meridiangroup.co,starter,emea,Card declined but you still marked the account past due.,3,0,
FB-2117,2026-04-13T04:22:00Z,email,rahul.costa@meridiangroup.co,starter,LATAM,Invoice shows the old plan price even after we upgraded.,2,TRUE,ALEX.R
FB-2377,12/03/2026,Chat,zara.muller@brightlab.io,Enterprise,APAC,"Onboarding emails came in the wrong order, confusing.",3,TRUE,jo.m
FB-2101,2026-03-15T11:56:00Z,Chat,marcus.khan@tidewater.io,Free,APAC,Card declined but you still marked the account past due.,two,,unassigned
FB-2221,14/06/2026,in-app,hannah.muller@vantage.works,Starter,emea,"Uploading a large file just spins forever, no error.",2,no,ALEX.R
FB-2275,09 Feb 2026,in_app,noah.khan@brightlab.io,FREE,NA,Page keeps crashing on Safari specifically.,one,no,sam.t
FB-2021,2026-03-21 13:55:00,chat,nadia.singh@tidewater.io,enterprise,,Need a GST invoice with our company details on it.,2,no,alex.r
FB-2200,2026-03-22 13:13:00,Email,lina.ito@fig.studio,free,latam,Page keeps crashing on Safari specifically.,2,TRUE,priya.k
FB-2305,2026-06-18 02:04:00,in-app,rahul.bauer@acmeco.com,Starter,North America,"Please add a dark mode, my eyes are dying.",4,1,priya.k
FB-2332,2026-06-12T21:57:00Z,Email,mei.dubois@fig.studio,PRO,India,Page keeps crashing on Safari specifically.,2,0,jo.m
FB-2169,06-08-2026 20:10,email,luis.mensah@fig.studio,enterprise,EMEA,"Onboarding emails came in the wrong order, confusing.",3,no,
FB-2015,2026-04-09 00:09:00,In-App,dev.novak@tidewater.io,Free,LATAM,"Uploading a large file just spins forever, no error.",2,1,priya.k
FB-2041,2026-06-04T21:01:00Z,Email,ines.rossi@northfield.org,enterprise,NA,Dashboard takes 30+ seconds to load every morning.,2,YES,
FB-2217,2026-07-13 11:27:00,Chat,bea.singh@acmeco.com,enterprise,India,"Got charged twice this month, still waiting on the refund.",,No,unassigned
FB-2393,06 Jun 2026,Email,zara.dubois@tidewater.io,Pro,apac,Need role-based permissions before we can roll this out wider. Mobile app when?,2,1,alex.r
FB-2186,,Chat,zara.dubois@northfield.org,FREE,North America,CSV export has a trailing empty column that breaks our import.,2,,
FB-2090,2026-04-22T21:15:00Z,chat,omar.patel@acmeco.com,pro,NA,Third outage this quarter. Leadership is asking questions.,1,1,
FB-2071,10 May 2026,support-form,maya.costa@vantage.works,FREE,NA,Would be great to schedule reports weekly instead of manual.,,YES,priya.k
FB-2241,2026-07-28T21:27:00Z,chat,clara.muller@vantage.works,Starter,APAC,The annual discount didn't apply at checkout.,3,No,ALEX.R
FB-2260,2026-04-17 17:46:00,Email,rahul.dubois@zenith-partners.com,Enterprise,IN,Search is unusably slow since the last update.,2,No,ALEX.R
FB-2350,02 May 2026,,olu.khan@zenith-partners.com,PRO,EMEA,Mobile app when?,3,0,
FB-2133,2026-07-23T13:39:00Z,Chat,,Pro,latam,Password reset link expired before it even arrived.,3,no,priya.k
FB-2280,2026-05-05 07:49:00,email,arjun.khan@opalhealth.com,Pro,NA,DELETED ITEM REAPPEARS AFTER REFRESH.,2,No,
FB-2158,2026-03-28 22:32:00,Email,mei.alvarez at tidewater.io,FREE,LATAM,Need a GST invoice with our company details on it.,2,yes,sam.t
